"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2200000;"POMORSKIE";"styczeń";"ryż - za 1kg";"cena";"2009";4,84;"zł";"";
2200000;"POMORSKIE";"styczeń";"bułka pszenna - za 50g";"cena";"2009";0,42;"zł";"";
2200000;"POMORSKIE";"styczeń";"chleb pszenno-żytni - za 0,5kg";"cena";"2009";1,78;"zł";"";
2200000;"POMORSKIE";"styczeń";"mąka pszenna - za 1kg";"cena";"2009";1,87;"zł";"";
2200000;"POMORSKIE";"styczeń";"kasza jęczmienna - za 0,5kg";"cena";"2009";1,70;"zł";"";
2200000;"POMORSKIE";"styczeń";"mięso wołowe z kością (rostbef) - za 1kg";"cena";"2009";18,38;"zł";"";
2200000;"POMORSKIE";"styczeń";"mięso wołowe bez kości (z udźca) - za 1 kg";"cena";"2009";26,79;"zł";"";
2200000;"POMORSKIE";"styczeń";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2009";15,69;"zł";"";
2200000;"POMORSKIE";"styczeń";"kurczęta patroszone - za 1kg";"cena";"2009";6,94;"zł";"";
2200000;"POMORSKIE";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2009";22,59;"zł";"";
2200000;"POMORSKIE";"styczeń";"kiełbasa suszona - za 1kg";"cena";"2009";28,79;"zł";"";
2200000;"POMORSKIE";"styczeń";"kiełbasa wędzona - za 1kg";"cena";"2009";13,30;"zł";"";
2200000;"POMORSKIE";"styczeń";"filety z morszczuka mrożone - za 1kg";"cena";"2009";13,52;"zł";"";
2200000;"POMORSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2009";12,43;"zł";"";
2200000;"POMORSKIE";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2009";2,77;"zł";"";
2200000;"POMORSKIE";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2009";2,12;"zł";"";
2200000;"POMORSKIE";"styczeń";"ser twarogowy półtłusty - za 1kg";"cena";"2009";13,17;"zł";"";
2200000;"POMORSKIE";"styczeń";"ser dojrzewający - za 1kg";"cena";"2009";16,75;"zł";"";
2200000;"POMORSKIE";"styczeń";"śmietana o zawartości tłuszczu 18% - za 200 ml";"cena";"2009";0,00;"zł";"";
2200000;"POMORSKIE";"styczeń";"jaja kurze świeże - za 1szt";"cena";"2009";0,43;"zł";"";
2200000;"POMORSKIE";"styczeń";"masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g";"cena";"2009";3,48;"zł";"";
2200000;"POMORSKIE";"styczeń";"margaryna - za 400 g";"cena";"2009";4,02;"zł";"";
2200000;"POMORSKIE";"styczeń";"olej rzepakowy produkcji krajowej - za 1l";"cena";"2009";6,38;"zł";"";
2200000;"POMORSKIE";"styczeń";"cytryny - za 1 kg";"cena";"2009";5,71;"zł";"";
2200000;"POMORSKIE";"styczeń";"marchew - za 1 kg";"cena";"2009";1,93;"zł";"";
2200000;"POMORSKIE";"styczeń";"cebula - za 1 kg";"cena";"2009";1,73;"zł";"";
2200000;"POMORSKIE";"styczeń";"ziemniaki - za 1 kg";"cena";"2009";1,06;"zł";"";
2200000;"POMORSKIE";"styczeń";"cukier biały kryształ - za 1kg";"cena";"2009";2,91;"zł";"";
2200000;"POMORSKIE";"styczeń";"czekolada mleczna - za 100g";"cena";"2009";3,14;"zł";"";
2200000;"POMORSKIE";"styczeń";"kawa naturalna mielona - za 250g";"cena";"2009";6,07;"zł";"";
2200000;"POMORSKIE";"styczeń";"herbata czarna, liściasta - za 100g";"cena";"2009";3,01;"zł";"";
2200000;"POMORSKIE";"styczeń";"sok jabłkowy - za 1l";"cena";"2009";3,60;"zł";"";
2200000;"POMORSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2009";2,81;"zł";"";
2200000;"POMORSKIE";"styczeń";"papierosy - za 20szt.";"cena";"2009";7,56;"zł";"";
2200000;"POMORSKIE";"styczeń";"garnitur męski 2-częściowy z elanowełny - za 1kpl.";"cena";"2009";419,92;"zł";"";
2200000;"POMORSKIE";"styczeń";"koszula męska z elanobawełny, długi rękaw";"cena";"2009";90,76;"zł";"";
2200000;"POMORSKIE";"styczeń";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2009";22,38;"zł";"";
2200000;"POMORSKIE";"styczeń";"rajstopy damskie cienkie, gładkie";"cena";"2009";3,81;"zł";"";
2200000;"POMORSKIE";"styczeń";"spodnie (6-11 lat) z tkaniny typu jeans";"cena";"2009";57,11;"zł";"";
2200000;"POMORSKIE";"styczeń";"oczyszczenie chemiczne garnituru męskiego 2-częściowego - za 1kpl";"cena";"2009";28,65;"zł";"";
2200000;"POMORSKIE";"styczeń";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2009";147,85;"zł";"";
2200000;"POMORSKIE";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2009";154,25;"zł";"";
2200000;"POMORSKIE";"styczeń";"podzelowanie obuwia męskiego - za 1parę";"cena";"2009";39,38;"zł";"";
2200000;"POMORSKIE";"styczeń";"bateria zlewozmywakowa";"cena";"2009";109,18;"zł";"";
2200000;"POMORSKIE";"styczeń";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2009";2,49;"zł";"";
2200000;"POMORSKIE";"styczeń";"węgiel kamienny - za 1t";"cena";"2009";728,91;"zł";"";
2200000;"POMORSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2009";16,73;"zł";"";
2200000;"POMORSKIE";"styczeń";"firanka syntetyczna, szer. 300 cm - za 1 m";"cena";"2009";23,08;"zł";"";
2200000;"POMORSKIE";"styczeń";"ręcznik frotté z tkaniny bawełnianej, wym. 50x100 cm";"cena";"2009";18,15;"zł";"";
2200000;"POMORSKIE";"styczeń";"mikser elektryczny";"cena";"2009";157,75;"zł";"";
2200000;"POMORSKIE";"styczeń";"kuchnia mikrofalowa, poj. 16-20 l";"cena";"2009";293,48;"zł";"";
2200000;"POMORSKIE";"styczeń";"talerz głęboki porcelanowy o średnicy 22-24 cm, dekorowany";"cena";"2009";11,03;"zł";"";
2200000;"POMORSKIE";"styczeń";"proszek do prania - za 400g";"cena";"2009";3,76;"zł";"";
2200000;"POMORSKIE";"styczeń";"wizyta u lekarza specjalisty";"cena";"2009";61,92;"zł";"";
2200000;"POMORSKIE";"styczeń";"benzyna silnikowa bezołowiowa, 95-oktanowa - za 1l";"cena";"2009";3,40;"zł";"";
2200000;"POMORSKIE";"styczeń";"bilet normalny na przejazd autobusem miejskim, jednorazowy";"cena";"2009";2,06;"zł";"";
2200000;"POMORSKIE";"styczeń";"przejazd taksówką osobową, taryfa dzienna - za 5km";"cena";"2009";15,33;"zł";"";
2200000;"POMORSKIE";"styczeń";"odtwarzacz DVD";"cena";"2009";220,50;"zł";"";
2200000;"POMORSKIE";"styczeń";"bilet do kina";"cena";"2009";14,73;"zł";"";
