"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2200000;"POMORSKIE";"styczeń";"ryż - za 1kg";"cena";"2012";4,20;"zł";"";
2200000;"POMORSKIE";"styczeń";"bułka pszenna - za 50g";"cena";"2012";0,43;"zł";"";
2200000;"POMORSKIE";"styczeń";"chleb pszenno-żytni - za 0,5kg";"cena";"2012";2,17;"zł";"";
2200000;"POMORSKIE";"styczeń";"mąka pszenna - za 1kg";"cena";"2012";2,55;"zł";"";
2200000;"POMORSKIE";"styczeń";"kasza jęczmienna - za 0,5kg";"cena";"2012";2,15;"zł";"";
2200000;"POMORSKIE";"styczeń";"mięso wołowe z kością (rostbef) - za 1kg";"cena";"2012";25,47;"zł";"";
2200000;"POMORSKIE";"styczeń";"mięso wołowe bez kości (z udźca) - za 1 kg";"cena";"2012";38,03;"zł";"";
2200000;"POMORSKIE";"styczeń";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2012";15,35;"zł";"";
2200000;"POMORSKIE";"styczeń";"kurczęta patroszone - za 1kg";"cena";"2012";6,96;"zł";"";
2200000;"POMORSKIE";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2012";25,36;"zł";"";
2200000;"POMORSKIE";"styczeń";"kiełbasa suszona - za 1kg";"cena";"2012";31,36;"zł";"";
2200000;"POMORSKIE";"styczeń";"kiełbasa wędzona - za 1kg";"cena";"2012";15,60;"zł";"";
2200000;"POMORSKIE";"styczeń";"filety z morszczuka mrożone - za 1kg";"cena";"2012";18,27;"zł";"";
2200000;"POMORSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2012";15,51;"zł";"";
2200000;"POMORSKIE";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2012";2,88;"zł";"";
2200000;"POMORSKIE";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2012";2,38;"zł";"";
2200000;"POMORSKIE";"styczeń";"ser twarogowy półtłusty - za 1kg";"cena";"2012";13,07;"zł";"";
2200000;"POMORSKIE";"styczeń";"ser dojrzewający - za 1kg";"cena";"2012";19,00;"zł";"";
2200000;"POMORSKIE";"styczeń";"śmietana o zawartości tłuszczu 18% - za 200 ml";"cena";"2012";0,00;"zł";"";
2200000;"POMORSKIE";"styczeń";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2012";1,78;"zł";"";
2200000;"POMORSKIE";"styczeń";"jaja kurze świeże - za 1szt";"cena";"2012";0,51;"zł";"";
2200000;"POMORSKIE";"styczeń";"masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g";"cena";"2012";4,72;"zł";"";
2200000;"POMORSKIE";"styczeń";"margaryna - za 400 g";"cena";"2012";3,77;"zł";"";
2200000;"POMORSKIE";"styczeń";"olej rzepakowy produkcji krajowej - za 1l";"cena";"2012";7,11;"zł";"";
2200000;"POMORSKIE";"styczeń";"cytryny - za 1 kg";"cena";"2012";4,90;"zł";"";
2200000;"POMORSKIE";"styczeń";"marchew - za 1 kg";"cena";"2012";1,67;"zł";"";
2200000;"POMORSKIE";"styczeń";"cebula - za 1 kg";"cena";"2012";1,62;"zł";"";
2200000;"POMORSKIE";"styczeń";"ziemniaki - za 1 kg";"cena";"2012";0,78;"zł";"";
2200000;"POMORSKIE";"styczeń";"cukier biały kryształ - za 1kg";"cena";"2012";3,99;"zł";"";
2200000;"POMORSKIE";"styczeń";"czekolada mleczna - za 100g";"cena";"2012";3,30;"zł";"";
2200000;"POMORSKIE";"styczeń";"kawa naturalna mielona - za 250g";"cena";"2012";7,69;"zł";"";
2200000;"POMORSKIE";"styczeń";"herbata czarna, liściasta - za 100g";"cena";"2012";3,38;"zł";"";
2200000;"POMORSKIE";"styczeń";"sok jabłkowy - za 1l";"cena";"2012";3,66;"zł";"";
2200000;"POMORSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2012";2,88;"zł";"";
2200000;"POMORSKIE";"styczeń";"papierosy - za 20szt.";"cena";"2012";10,58;"zł";"";
2200000;"POMORSKIE";"styczeń";"garnitur męski 2-częściowy z elanowełny - za 1kpl.";"cena";"2012";453,27;"zł";"";
2200000;"POMORSKIE";"styczeń";"koszula męska z elanobawełny, długi rękaw";"cena";"2012";99,45;"zł";"";
