"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2200000;"POMORSKIE";"styczeń";"ryż - za 1kg";"cena";"2016";3,85;"zł";"";
2200000;"POMORSKIE";"styczeń";"bułka pszenna - za 50g";"cena";"2016";0,41;"zł";"";
2200000;"POMORSKIE";"styczeń";"chleb pszenno-żytni - za 0,5kg";"cena";"2016";2,03;"zł";"";
2200000;"POMORSKIE";"styczeń";"mąka pszenna - za 1kg";"cena";"2016";2,64;"zł";"";
2200000;"POMORSKIE";"styczeń";"kasza jęczmienna - za 0,5kg";"cena";"2016";2,27;"zł";"";
2200000;"POMORSKIE";"styczeń";"mięso wołowe z kością (rostbef) - za 1kg";"cena";"2016";25,36;"zł";"";
2200000;"POMORSKIE";"styczeń";"mięso wołowe bez kości (z udźca) - za 1 kg";"cena";"2016";38,81;"zł";"";
2200000;"POMORSKIE";"styczeń";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2016";13,88;"zł";"";
2200000;"POMORSKIE";"styczeń";"kurczęta patroszone - za 1kg";"cena";"2016";6,65;"zł";"";
2200000;"POMORSKIE";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2016";27,59;"zł";"";
2200000;"POMORSKIE";"styczeń";"kiełbasa suszona - za 1kg";"cena";"2016";28,47;"zł";"";
2200000;"POMORSKIE";"styczeń";"kiełbasa wędzona - za 1kg";"cena";"2016";15,78;"zł";"";
2200000;"POMORSKIE";"styczeń";"kiełbasa wędzona (2) - za 1kg";"cena";"2016";19,52;"zł";"";
2200000;"POMORSKIE";"styczeń";"filety z morszczuka mrożone - za 1kg";"cena";"2016";22,64;"zł";"";
2200000;"POMORSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2016";15,30;"zł";"";
2200000;"POMORSKIE";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2016";2,51;"zł";"";
2200000;"POMORSKIE";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2016";2,15;"zł";"";
2200000;"POMORSKIE";"styczeń";"ser twarogowy półtłusty - za 1kg";"cena";"2016";13,00;"zł";"";
2200000;"POMORSKIE";"styczeń";"ser dojrzewający - za 1kg";"cena";"2016";17,05;"zł";"";
2200000;"POMORSKIE";"styczeń";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2016";1,65;"zł";"";
2200000;"POMORSKIE";"styczeń";"jaja kurze świeże - za 1szt";"cena";"2016";0,50;"zł";"";
2200000;"POMORSKIE";"styczeń";"masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g";"cena";"2016";3,71;"zł";"";
2200000;"POMORSKIE";"styczeń";"margaryna - za 400 g";"cena";"2016";4,06;"zł";"";
2200000;"POMORSKIE";"styczeń";"olej rzepakowy produkcji krajowej - za 1l";"cena";"2016";5,78;"zł";"";
2200000;"POMORSKIE";"styczeń";"jabłka - za 1kg";"cena";"2016";2,85;"zł";"";
2200000;"POMORSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2016";5,52;"zł";"";
2200000;"POMORSKIE";"styczeń";"cytryny - za 1 kg";"cena";"2016";7,32;"zł";"";
2200000;"POMORSKIE";"styczeń";"marchew - za 1 kg";"cena";"2016";2,41;"zł";"";
2200000;"POMORSKIE";"styczeń";"cebula - za 1 kg";"cena";"2016";2,58;"zł";"";
2200000;"POMORSKIE";"styczeń";"ziemniaki - za 1 kg";"cena";"2016";1,24;"zł";"";
2200000;"POMORSKIE";"styczeń";"cukier biały kryształ - za 1kg";"cena";"2016";2,45;"zł";"";
2200000;"POMORSKIE";"styczeń";"czekolada mleczna - za 100g";"cena";"2016";3,67;"zł";"";
2200000;"POMORSKIE";"styczeń";"kawa naturalna mielona - za 250g";"cena";"2016";6,96;"zł";"";
2200000;"POMORSKIE";"styczeń";"herbata czarna, liściasta - za 100g";"cena";"2016";3,63;"zł";"";
2200000;"POMORSKIE";"styczeń";"sok jabłkowy - za 1l";"cena";"2016";3,58;"zł";"";
2200000;"POMORSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2016";2,77;"zł";"";
2200000;"POMORSKIE";"styczeń";"papierosy - za 20szt.";"cena";"2016";13,17;"zł";"";
2200000;"POMORSKIE";"styczeń";"garnitur męski 2-częściowy, z tkaniny z udziałem wełny - za 1 kpl";"cena";"2016";559,17;"zł";"";
2200000;"POMORSKIE";"styczeń";"koszula męska z elanobawełny, długi rękaw";"cena";"2016";107,37;"zł";"";
2200000;"POMORSKIE";"styczeń";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2016";29,29;"zł";"";
2200000;"POMORSKIE";"styczeń";"rajstopy damskie gładkie, 15 den";"cena";"2016";7,25;"zł";"";
2200000;"POMORSKIE";"styczeń";"spodnie (6-11 lat) z tkaniny typu jeans";"cena";"2016";71,03;"zł";"";
2200000;"POMORSKIE";"styczeń";"oczyszczenie chemiczne garnituru męskiego 2-częściowego - za 1kpl";"cena";"2016";36,60;"zł";"";
